Num,Tipo,Voce,Cat,Italiano,Et_Audio
339,lemma,arżènt,sm,argento,arzent
340,lemma,arzibiṡnòni,smpl,"avi, progenitori",arzibisnoni
341,lemma,arżignàr,vb,"caprugginare, il lavoro per incastrarvi il fondo delle botti; anche: enżignar le bót",arzignar
342,lemma,arziprèt,sm,arciprete,arzipret
343,lemma,as,sm,"asso, asse, assi, tavola segata",as
344,locuzione,as (restar su l'– de le perséche),loc,"fallire, restare a terra, all'asciutto, senza niente",as (restar su l'– de le perseche)
345,locuzione,as de le perséche,loc,asse sulla quale si mette mele e pere a fettine per farle essiccare,as de le perseche
346,lemma,asà,avv,"abbastanza, a sufficienza",asa
347,locuzione,asàlo star,es,"lasciatelo stare in pace, non fategli niente",asalo star
348,lemma,asàr,vb,"1. lasciare, depositare, deporre, consegnare; 2.lasciare un posto o una persona, separarsi",asar
349,lemma,ascòrżerse,vb,"accorgersi, notare, intuire - come nascorzerse",ascorzerse
350,lemma,aṡé,sm,aceto - anche: asedo,ase
351,locuzione,aṡé (nar en –),loc,"perdersi, smarrirsi, perdere il filo",ase (nar en –)
352,locuzione,asé de pomi,es,aceto di mele,ase de pomi
353,locuzione,aṡé de ṡpich,es,"infuso di lavanda e aceto, o canfora, contro il mal di testa",ase de spich
354,lemma,aṡedàr,vb,mettere l'aceto,asedar
355,lemma,asedèla,sf,"assicella, piccola asse",asedela
356,lemma,aṡédo,sm,aceto - anche: asé,asedo
357,lemma,asedón,sm,"la freccia del carro, che si unisce con la parte posteriore",asedon
358,locuzione,àseme star,es,"lasciami stare, non tormentarmi",aseme star
359,lemma,aṡen,sm,"asino, somaro, ciuco",asen
360,lemma,aṡenada,sf,"asinata, grossa stupidaggine",asenada
361,lemma,aṡenèl,sm,asinello,asenel
362,lemma,aṡenón,sm,somarone,asenon
363,lemma,aser,sm,acero,aser
364,lemma,asguèlt,agg,"svelto, veloce; anche: sguèlt o asvèlt",asguelt
365,lemma,aṡi,sm,"agio, comodo, opportunità, libertà",asi
366,locuzione,aṡi (a bèl –),loc,a cavalluccio,asi (a bel –)
367,lemma,aṡià,agg,"preparato, comodo",asia
368,locuzione,aṡià (ṡét –),es,"sei pronto?, sei vestito?",asia (set –)
369,lemma,aṡiàr,vb,"apparecchiare, preparare, agghindare, sistemare, allestire",asiar
370,locuzione,aṡiarme (vago a –),es,"vado a prepararmi, a mettermi a posto",asiarme (vago a –)
371,lemma,aṡiarṡe,vb,"prepararsi, agghindarsi, sistemarsi, lavarsi e pettinarsi",asiarse
372,locuzione,àṡiete che l'è ora,es,"preparati che è ora, organizzati ch'è tempo",asiete
373,lemma,asìl,sm,"asse, assile (del carro) - anche: sil",asil
374,lemma,aṡilòt,sm,bambino che va alla scuola materna (asilo),asilot
375,lemma,asòlver,vb,"assolvere, adempiere",asolver
376,lemma,asolvèst,agg,"assolto, eseguito",asolvest
377,lemma,asón,sm,asse centrale e traverse principali del carro agricolo,ason
378,lemma,asòt,sm,"asse, assicella, tavoletta di legno",asot
379,lemma,asp,sm,"aspo, naspo - anche: aspi, guindol",asp
380,lemma,aspèt,sm,"aspetto, forma, cera, faccia",aspet
381,lemma,aspetàr,vb,"aspettare, attendere, essere in attesa",aspetar
382,lemma,asquasi,avv,"quasi, circa, pressappoco",asquasi
383,lemma,asvèlt,agg,"svelto, sveglio, lesto, agile, sollecito, accorto - anche: asvèlto, svèlt, sguèlt, asguèlt",asvelt
384,lemma,asveltirse,vb,"sveltirsi, stringere i tempi, svegliarsi",asveltirse
385,lemma,atacapàni,sm,"attaccapanni, appendiabiti, appendino - anche: tacapàni",atacapani
386,lemma,atènt,agg,"attento, solerte",atent
387,lemma,atenzión,sf,"attenzione, interesse, cura",atenzion
388,lemma,àtimo,sm,"attimo, istante, amen",atimo
389,lemma,ato,sm,"1. atto, gesto, azione; 2. atto, scena; 3. capace, rispondente",ato
390,lemma,atrìte,sf,malattia dell’artrite,atrite
391,lemma,aughén,escl,"occhio, fai attenzione, valuta bene - anche: òcio",aughen
392,lemma,àuno,sm,ontano,auno
393,lemma,aùt,sm,aiuto,aut
394,lemma,autàr,vb,"aiutare, soccorrere",autar
395,locuzione,autarghe,es,"aiutarlo, aiutarla, aiutarle (dare aiuto)",autarghe
396,lemma,autèl,sm,"automobilina, piccola auto, giocattolo.",autel
397,lemma,autùn,sm,autunno,autun
398,lemma,avanti,avv,"avanti, davanti, innanzi; anche: envànti",avanti
399,locuzione,avanti che,loc,"prima di, prima che",avanti che
400,lemma,avantór,sm,"avventore, cliente, pretendente, corteggiatore",avantor
401,lemma,avànz,sm,"avanzo, scarto, sfrido, residuo - anche: vanzaròt",avanz
402,lemma,avaròle,sfpl,vaiolo,avarole
403,lemma,avarón,sm,avaraccio,avaron
404,lemma,avegnìr,sm,"avvenire, futuro, domani",avegnir
405,lemma,avér,vb,avere - anche: gavér,aver
406,locuzione,avér el magón,loc,"avere il magone, avere il nodo alla gola, avere tristezza, abbattimento",aver el magon
407,locuzione,avér per mal,loc,"averne a male, permalosirsi",aver per mal
408,locuzione,avérghe tèmp,loc,avere del tempo,averghe temp
409,locuzione,avérghen,es,"averne, possederne",averghen
410,locuzione,avérghen,es,averne! riuscire a ottenerne!,averghen
411,locuzione,averghén (da –),loc,"d'averne, da possederne - anche: érghene",averghen (da –)
